Taxon_raw,Taxon_clean,Edited_for_clean_name
Plectroglyphidodon lacrymatus,Plectroglyphidodon lacrymatus,No
Pogonoperca punctata,Pogonoperca punctata,No
Polydactylus sexfilis,Polydactylus sexfilis,No
Pomacanthus imperator,Pomacanthus imperator,No
Pomacentrus pavo,Pomacentrus pavo,No
Pomachromis fuscidorsalis,Pomachromis fuscidorsalis,No
Pristiapogon exostigma,Pristiapogon exostigma,No
Pristiapogon fraenatus,Pristiapogon fraenatus,No
Pristiapogon kallopterus,Pristiapogon kallopterus,No
Pseudanthias mooreanus,Pseudanthias mooreanus,No
Pseudanthias olivaceus,Pseudanthias olivaceus,No
Pseudanthias pascalus,Pseudanthias pascalus,No
Pseudobalistes flavimarginatus,Pseudobalistes flavimarginatus,No
Pseudobalistes fuscus,Pseudobalistes fuscus,No
Pseudocheilinus evanidus,Pseudocheilinus evanidus,No
Pseudocheilinus hexataenia,Pseudocheilinus hexataenia,No
Pseudocheilinus octotaenia,Pseudocheilinus octotaenia,No
Pseudocheilinus tetrataenia,Pseudocheilinus tetrataenia,No
Pseudodax moluccanus,Pseudodax moluccanus,No
Pseudojuloides atavai,Pseudojuloides atavai,No
Pseudojuloides cerasinus,Pseudojuloides cerasinus,No
Ptereleotris evides,Ptereleotris evides,No
Ptereleotris heteroptera,Ptereleotris heteroptera,No
Ptereleotris microlepis,Ptereleotris microlepis,No
Ptereleotris monoptera,Ptereleotris monoptera,No
Pterocaesio tile,Pterocaesio tile,No
Pterois antennata,Pterois antennata,No
Pterois radiata,Pterois radiata,No
Pterois volitans,Pterois volitans,No
Pygoplites diacanthus,Pygoplites diacanthus,No
Rhinecanthus aculeatus,Rhinecanthus aculeatus,No
Rhinecanthus lunula,Rhinecanthus lunula,No
Rhinecanthus rectangulus,Rhinecanthus rectangulus,No
Rhinecanthus verrucosus,Rhinecanthus verrucosus,No
Sargocentron caudimaculatum,Sargocentron caudimaculatum,No
Sargocentron diadema,Sargocentron diadema,No
Sargocentron microstoma,Sargocentron microstoma,No
Sargocentron punctatissimum,Sargocentron punctatissimum,No
Sargocentron spiniferum,Sargocentron spiniferum,No
Sargocentron tiere,Sargocentron tiere,No
Saurida gracilis,Saurida gracilis,No
Scarus altipinnis,Scarus altipinnis,No
Scarus forsteni,Scarus forsteni,No
Scarus frenatus,Scarus frenatus,No
Scarus ghobban,Scarus ghobban,No
Scarus globiceps,Scarus globiceps,No
Scarus niger,Scarus niger,No
Scarus oviceps,Scarus oviceps,No
Scarus psittacus,Scarus psittacus,No
Scarus rubroviolaceus,Scarus rubroviolaceus,No
Scarus schlegeli,Scarus schlegeli,No
Scarus tricolor,Scarus tricolor,No
Scomberoides lysan,Scomberoides lysan,No
Scorpaenopsis diabolus,Scorpaenopsis diabolus,No
Scorpaenopsis papuensis,Scorpaenopsis papuensis,No
Scuticaria tigrina,Scuticaria tigrina,No
Sebastapistes tinkhami,Sebastapistes tinkhami,No
Siganus argenteus,Siganus argenteus,No
Siganus spinus,Siganus spinus,No
Sphyraena barracuda,Sphyraena barracuda,No
Sphyraena qenie,Sphyraena qenie,No
Stegastes albifasciatus,Stegastes albifasciatus,No
Stegastes fasciolatus,Stegastes fasciolatus,No
Stegastes nigricans,Stegastes nigricans,No
Stegastes punctatus,Stegastes punctatus,No
Stethojulis bandanensis,Stethojulis bandanensis,No
Sufflamen bursa,Sufflamen bursa,No
Sufflamen chrysopterum,Sufflamen chrysopterum,No
Synanceia verrucosa,Synanceia verrucosa,No
Synchiropus ocellatus,Neosynchiropus ocellatus,Yes
Synodus binotatus,Synodus binotatus,No
Synodus dermatogenys,Synodus dermatogenys,No
Synodus jaculum,Synodus jaculum,No
Synodus variegatus,Synodus variegatus,No
Taenianotus triacanthus,Taenianotus triacanthus,No
Thalassoma amblycephalum,Thalassoma amblycephalum,No
Thalassoma hardwicke,Thalassoma hardwicke,No
Thalassoma lutescens,Thalassoma lutescens,No
Thalassoma purpureum,Thalassoma purpureum,No
Thalassoma quinquevittatum,Thalassoma quinquevittatum,No
Thalassoma trilobatum,Thalassoma trilobatum,No
Triaenodon obesus,Triaenodon obesus,No
Tylosurus crocodilus,Tylosurus crocodilus,No
Valenciennea strigata,Valenciennea strigata,No
Variola albimarginata,Variola albimarginata,No
Variola louti,Variola louti,No
Wetmorella nigropinnata,Wetmorella nigropinnata,No
Zanclus cornutus,Zanclus cornutus,No
Zebrasoma flavescens,Zebrasoma flavescens,No
Zebrasoma scopas,Zebrasoma scopas,No
Zebrasoma veliferum,Zebrasoma velifer,Yes
Acanthuridae unidentified,Acanthuridae,Yes
Balistapus undulatus,Balistapus,Yes
Balistidae unidentified 1,Balistidae,Yes
Blenniidae unidentified,Blenniellae,Yes
Blenniidae unidentified 5,Blenniellae,Yes
Blenniidae unidentified 6,Blenniellae,Yes
Blenniidae unidentified 7,Blenniellae,Yes
Bryaninops sp.,Bryaninops,Yes
Canthigaster sp. 1,Canthigaster,Yes
Carangidae unidentified,Carangidae,Yes
Carangidae unidentified 1,Carangidae,Yes
Cheilinus sp.,Cheilinus,Yes
Cirripectes sp.,Cirripectes,Yes
Cirripectes variolosus (cf),Cirripectes variolosus,Yes
Eviota (cf) sp.,Eviota ,Yes
Eviota sp.,Eviota,Yes
Eviota sp. 2,Eviota,Yes
Eviota sp. 3,Eviota,Yes
Gobiidae unidentified,Gobiidae,Yes
Gobiidae unidentified 1,Gobiidae,Yes
Gobiidae unidentified 10,Gobiidae,Yes
Gobiidae unidentified 11,Gobiidae,Yes
Gobiidae unidentified 12,Gobiidae,Yes
Gobiidae unidentified 2,Gobiidae,Yes
Gobiidae unidentified 3,Gobiidae,Yes
Gobiidae unidentified 4,Gobiidae,Yes
Gobiidae unidentified 5,Gobiidae,Yes
Gobiidae unidentified 6,Gobiidae,Yes
Gobiidae unidentified 7,Gobiidae,Yes
Gobiidae unidentified 8,Gobiidae,Yes
Gobiidae unidentified 9,Gobiidae,Yes
Gobiodon quinquestrigatus (cf),Gobiodon quinquestrigatus ,Yes
Holocentridae unidentified 1,Holocentridae,Yes
Hyporhamphus sp.,Hyporhamphus,Yes
Kyphosus sp.,Kyphosus,Yes
Labridae unidentified,Labridae,Yes
Labridae unidentified 1,Labridae,Yes
Labridae unidentified 2,Labridae,Yes
Labridae unidentified 3,Labridae,Yes
Lethrinus sp.,Lethrinus,Yes
Monotaxis sp.,Monotaxis,Yes
Naso sp.,Naso,Yes
Naso sp. 1,Naso,Yes
Osteichthyes unidentified,Osteichthyes,Yes
Plectroglyphidodon (cf) sp.,Plectroglyphidodon,Yes
Pseudocheilinus octotaenia (cf),Pseudocheilinus octotaenia,Yes
Sargocentron sp.,Sargocentron,Yes
Scaridae unidentified 1,Scaridae,Yes
Scaridae unidentified 2,Scaridae,Yes
Scaridae unidentified 3,Scaridae,Yes
Scaridae unidentified 4,Scaridae,Yes
Scaridae unidentified 5,Scaridae,Yes
Scaridae unidentified 6,Scaridae,Yes
Scaridae unidentified 7,Scaridae,Yes
Scaridae unidentified 8,Scaridae,Yes
Scaridae unidentified 9,Scaridae,Yes
Scorpaenidae unidentified,Scorpaenidae,Yes
Scorpaenopsis sp.,Scorpaenopsis,Yes
Sebastapistes sp.,Sebastapistes,Yes
Sphyraena sp. 1,Sphyraena ,Yes
