SpecCode,Species,AutoCtr,StockCode,E_CODE,PopGrowthRef,Sex,Data,DataSourceRef,Loo,Number,r2,SE_Loo,SD_Loo,LCL_Loo,UCL_Loo,AssumedDistLoo,TLinfinity,K,SE_K,SD_K,LCL_K,UCL_K,AssumedDistK,to,SE_to,SD_to,LCL_to,UCL_to,Type,MethodGrowth,Winfinity,LinfLmax,Auxim,LogKLogLoo,SourceWinfinity,b,C,tmax,tmaxRef,tm,M,MethodM,Mquality,MRef,Number_M,r2_M,SE_M,SD_M,LCL_M,UCL_M,AssumedDistM,Lm,LmLoo,LmSex,TypeLm,unsexedRef,LmMale,LmLooMale,LmFemale,LmLooFemale,Locality,YearStart,YearEnd,YearRemark,C_Code,GrowthEnviron,Temperature,DeltaT,TempRef,Rm,Comment,Comment2,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS
1258,Acanthurus lineatus,7220,1275,105,48600,unsexed,length-frequencies,48600,28.7,NA,NA,NA,NA,NA,NA,NA,28.7,2.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TL,ELEFAN I,NA,0,doubtful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lakshadweep lagoons,1993,1997,sampling year,356,open waters,27,NA,37814,NA,NA,NA,3,2003-09-03T00:00:00Z,3,2013-02-13T00:00:00Z,NA,NA,NA
1258,Acanthurus lineatus,21132,1275,NA,52229,unsexed,annuli on many otoliths,NA,18.3,95,NA,NA,NA,NA,NA,NA,NA,0.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SL,NA,NA,0,unchecked,NA,NA,NA,NA,42,52229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,northern Great Barrier Reef,NA,NA,NA,036,open waters,NA,NA,NA,NA,NA,NA,3,2014-08-26T00:00:00Z,NA,2014-08-26T00:00:00Z,NA,NA,NA
6011,Acanthurus nigricans,7863,6325,243,52229,unsexed,annuli on otoliths,52229,14.3,62,NA,NA,NA,NA,NA,NA,17.9,0.28,NA,NA,NA,NA,NA,-0.69,NA,NA,NA,NA,SL,NA,NA,0,unchecked,NA,NA,NA,NA,34,52229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Great Barrie Reef,2002,NA,publication year,036,open waters,26,NA,37814,NA,Size range: 8.4-16 cm,NA,3,2004-10-03T00:00:00Z,3,2014-06-27T00:00:00Z,NA,NA,NA
4747,Acanthurus nigricauda,7222,4971,105,48600,unsexed,length-frequencies,48600,24.3,NA,NA,NA,NA,NA,NA,NA,24.3,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TL,ELEFAN I,NA,0,unchecked,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lakshadweep lagoons,1993,1997,sampling year,356,open waters,27,NA,37814,NA,NA,NA,3,2003-09-03T00:00:00Z,3,2013-02-13T00:00:00Z,NA,NA,NA
4739,Acanthurus nigrofuscus,4308,4963,127,3807,unsexed,length-frequencies,3807,18,NA,NA,NA,NA,NA,NA,NA,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NG,other method(s)/n.a.,149,0,unchecked,0,using LWR of species,2.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Woleai Atoll, Yap State",1991,NA,sampling year,583,open waters,28,NA,NA,NA,NA,NA,3,1992-06-14T00:00:00Z,3,2013-02-13T00:00:00Z,NA,NA,NA
4739,Acanthurus nigrofuscus,4309,4963,128,12201,unsexed,annuli on otoliths,12201,12.7,NA,NA,NA,NA,NA,NA,NA,13.51064,0.51,NA,NA,NA,NA,NA,-1.81,NA,NA,NA,NA,FL,non-linear regression,60.3,0,unchecked,-0.26493,using LWR of species,2.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,0.83,NA,FL,12201,NA,NA,NA,NA,"Coil reef, Northern Queensland",1992,1993,sampling year,036,open waters,25,NA,NA,1.213,Not impacted upon by <i>Acanthaster</i> outbreaks.,NA,3,1996-11-10T00:00:00Z,3,2013-02-13T00:00:00Z,NA,NA,NA
4739,Acanthurus nigrofuscus,4310,4963,128,12201,unsexed,annuli on otoliths,12201,14.4,NA,NA,NA,NA,NA,NA,NA,15.31915,0.16,NA,NA,NA,NA,NA,-8.15,NA,NA,NA,NA,FL,non-linear regression,87.6,0,doubtful,-0.68707,using LWR of species,2.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,0.73,NA,FL,12201,NA,NA,NA,NA,"Dip reef, Northern Queensland",1992,1993,sampling year,036,open waters,25,NA,NA,0.491,Impacted upon by <i>Acanthaster</i> outbreaks. t-zero is quite big (?),NA,3,1996-11-10T00:00:00Z,3,2013-02-13T00:00:00Z,NA,NA,NA
4739,Acanthurus nigrofuscus,4311,4963,128,12201,unsexed,annuli on otoliths,12201,15.8,NA,NA,NA,NA,NA,NA,NA,16.80851,0.45,NA,NA,NA,NA,NA,-2.26,NA,NA,NA,NA,FL,non-linear regression,115,0,unchecked,-0.28931,using LWR of species,2.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,0.66,NA,FL,12201,NA,NA,NA,NA,"Yankee reef, Northern Queensland",1992,1993,sampling year,036,open waters,25.8,NA,NA,1.066,Impacted upon by <i>Acanthaster</i> outbreaks.,NA,3,1996-11-10T00:00:00Z,3,2013-02-13T00:00:00Z,NA,NA,NA
4739,Acanthurus nigrofuscus,4312,4963,128,12201,unsexed,annuli on otoliths,12201,16.6,NA,NA,NA,NA,NA,NA,NA,17.65957,1.72,NA,NA,NA,NA,NA,0.31,NA,NA,NA,NA,FL,non-linear regression,134,0,unchecked,0.19304,using LWR of species,2.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,0.81,NA,FL,12201,NA,NA,NA,NA,"Centipede reef, Northern Queensland",1992,1993,sampling year,036,open waters,26,NA,37814,NA,Not impacted upon by <i>Acanthaster</i> outbreaks.,NA,3,1996-11-10T00:00:00Z,3,2013-02-13T00:00:00Z,NA,NA,NA
4739,Acanthurus nigrofuscus,21133,4963,NA,52229,unsexed,annuli on many otoliths,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,0.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SL,NA,NA,0,unchecked,NA,NA,NA,NA,16,52229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open waters,NA,NA,NA,NA,NA,NA,3,2014-08-26T00:00:00Z,NA,2014-08-26T00:00:00Z,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4744,Acanthurus olivaceus,21134,4968,NA,52229,unsexed,annuli on many otoliths,NA,21,79,NA,NA,NA,NA,NA,NA,NA,1.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SL,NA,NA,0,unchecked,NA,NA,NA,NA,33,52229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,northern Great Barrier Reef,NA,NA,NA,036,open waters,NA,NA,NA,NA,NA,NA,3,2014-08-26T00:00:00Z,NA,2014-08-26T00:00:00Z,NA,NA,NA
4742,Acanthurus pyroferus,7864,4966,243,52229,unsexed,annuli on otoliths,52229,14.3,NA,NA,NA,NA,NA,NA,NA,23.3,0.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SL,NA,NA,0,unchecked,NA,NA,NA,NA,28,52229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Great Barrier Reef,2002,NA,publication year,036,open waters,26,NA,37814,NA,NA,NA,3,2004-10-03T00:00:00Z,3,2014-06-27T00:00:00Z,NA,NA,NA
4734,Acanthurus thompsoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1260,Acanthurus triostegus,2334,1277,166,312,unsexed,tagging/recapture,717,21.7,NA,NA,NA,NA,NA,NA,NA,25.86047,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SL,other linearizations of VBGF,NA,0,unchecked,-0.34115,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oahu,1961,NA,publication year,840B,open waters,25.6,3.5,1861,NA,"Growth is seasonal in Hawaii; C = 1 inferred from winter growth cessation in Ref. 3921, p. 48.",NA,3,1991-09-14T00:00:00Z,3,2013-02-13T00:00:00Z,NA,NA,NA
1260,Acanthurus triostegus,7221,1277,105,48600,unsexed,length-frequencies,48600,20,NA,NA,NA,NA,NA,NA,NA,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TL,ELEFAN I,NA,0,unchecked,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lakshadweep lagoons,1993,1997,sampling year,356,open waters,27,NA,37814,NA,NA,NA,3,2003-09-03T00:00:00Z,3,2013-02-13T00:00:00Z,NA,NA,NA
1260,Acanthurus triostegus,20972,1277,166,94645,unsexed,annuli on many otoliths,96439,20.3,45,NA,NA,NA,NA,NA,NA,NA,1.43,NA,NA,NA,NA,NA,0.0511,NA,NA,NA,NA,FL,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840B,open waters,NA,NA,NA,NA,NA,NA,3,2014-06-26T00:00:00Z,NA,2014-06-27T00:00:00Z,NA,NA,NA
1250,Aetobatus narinari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4275,Aluterus scriptus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6672,Amanses scopas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7229,Amblyeleotris fasciata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7243,Amblygobius nocturnus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7198,Amblygobius phalaena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4551,Amphiprion chrysopterus,4064,4736,127,312,unsexed,tagging/recapture,237,11.3,NA,NA,NA,NA,NA,NA,NA,11.3,0.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TL,other linearizations of VBGF,NA,0,unchecked,-0.08589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eniwetok Atoll, Pacific",1975,NA,publication year,584,open waters,28.5,NA,NA,NA,NA,NA,3,1991-09-14T00:00:00Z,3,2013-02-13T00:00:00Z,NA,NA,NA
4888,Anampses caeruleopunctatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5622,Anampses melanurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4889,Anampses meleagrides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4893,Anampses twistii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,Aphareus furca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,Aprion virescens,626,99,127,3090,unsexed,annuli on otoliths,2290,66,NA,NA,NA,NA,NA,NA,NA,82.1,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SL,NA,4875,0,unchecked,-0.27954,other(see comments),3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,NA,publication year,540,open waters,24,NA,12149,NA,"Winf computed from Ref. 3111, table 19.1; b=3: assumed value.",NA,3,1992-03-31T00:00:00Z,3,2013-02-13T00:00:00Z,NA,NA,NA
84,Aprion virescens,627,99,7,7194,female,length-frequencies,7194,108,NA,NA,NA,NA,NA,NA,NA,122,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL,ELEFAN I,13100,0,unchecked,-0.41992,using LWR of species,2.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,0.58,female,FL,7194,NA,NA,63,0.58,NA,1992,NA,publication year,690,open waters,25,NA,7194,NA,Temperature is for depths of 20-60 m.,NA,3,1994-07-02T00:00:00Z,3,2013-02-13T00:00:00Z,NA,NA,NA
84,Aprion virescens,628,99,7,7194,male,length-frequencies,7194,95,NA,NA,NA,NA,NA,NA,NA,108,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL,ELEFAN I,9010,0,unchecked,-0.27183,using LWR of species,2.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,NA,publication year,690,open waters,25,NA,7194,NA,Temperature is for depths of 20-60 m.,NA,3,1994-07-02T00:00:00Z,3,2013-02-13T00:00:00Z,NA,NA,NA
84,Aprion virescens,629,99,7,7194,unsexed,NA,7198,78,NA,NA,NA,NA,NA,NA,NA,88.4,0.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL,NA,5082,0,unchecked,-0.24228,using LWR of species,2.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,0.81,female,FL,7194,NA,NA,63,0.81,NA,1991,NA,publication year,690,open waters,25,NA,7194,NA,NA,NA,3,1994-07-02T00:00:00Z,3,2013-02-13T00:00:00Z,NA,NA,NA
84,Aprion virescens,8392,99,NA,53783,unsexed,annuli on otoliths,53783,79,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL,NA,NA,0,unchecked,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mah<e9> Plateau (5<b0>S, 55<b0>E)",2000,NA,Publication year,690,open waters,NA,NA,NA,NA,cross.ref.: 72458,NA,3,2005-03-31T00:00:00Z,3,2013-02-13T00:00:00Z,NA,NA,NA
5425,Arothron hispidus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6401,Arothron meleagris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6526,Arothron stellatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
