SpecCode,Species,autoctr,StockCode,Locality,C_Code,FoodsRefNo,FoodI,PreyStage,FoodII,FoodIII,Commoness,CommonessII,Foodgroup,Foodname,PreySpecCode,PreySpecCodeSLB,AlphaCode,PreyTroph,PreySeTroph,TrophRefNo,PredatorStage,Locality2,Entered,Dateentered,Modified,Datemodified,Expert,Datechecked,TS
4306,Acanthurus achilles,9583,4501,NA,NA,9267,plants,n.a./others,other plants,benthic algae/weeds,NA,NA,algae,unidentified fleshy algae,NA,NA,NA,NA,NA,NA,juv./adults,NA,34,2000-04-01T00:00:00Z,NA,2000-04-01T00:00:00Z,NA,NA,NA
4306,Acanthurus achilles,48478,4501,NA,584,275,plants,n.a./others,phytoplankton,n.a./other phytoplankton,NA,NA,microalgae,filamentous microalgae,NA,NA,NA,NA,NA,NA,juv./adults,NA,309,2008-05-22T00:00:00Z,NA,2008-05-22T00:00:00Z,NA,NA,NA
1255,Acanthurus mata,4931,1271,Eniwetok.,584,275,detritus,n.a./others,detritus,debris,NA,NA,unidentified,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,Locality: Eniwetok,34,1997-02-17T00:00:00Z,NA,1997-11-17T00:00:00Z,NA,NA,NA
1255,Acanthurus mata,4932,1271,Eniwetok.,584,275,plants,n.a./others,other plants,benthic algae/weeds,NA,NA,unidentified,unidentified,NA,NA,NA,NA,NA,NA,adults,Locality: Eniwetok. Food was admixed w/ a great amount of sand and associated organisms.,34,1997-02-17T00:00:00Z,NA,1997-11-17T00:00:00Z,NA,NA,NA
1255,Acanthurus mata,48476,1271,NA,584,275,plants,n.a./others,phytoplankton,n.a./other phytoplankton,NA,NA,microalgae,filamentous microalgae,NA,NA,NA,NA,NA,NA,adults,Locality: Eniwetok. Food was admixed w/ a great amount of sand and associated organisms.,309,2008-05-22T00:00:00Z,NA,2008-05-22T00:00:00Z,NA,NA,NA
1255,Acanthurus mata,4933,1271,Eniwetok.,584,275,zooplankton,juv./adults,other plank. invertebrates,n.a./other plank. Invertebrates,NA,NA,Foraminifera,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,Locality: Eniwetok. Food was ingested w/ sand grains while scraping algae.,34,1997-02-17T00:00:00Z,NA,1997-11-19T00:00:00Z,NA,NA,NA
4750,Acanthurus blochii,10657,4974,NA,840B,3921,detritus,n.a./others,detritus,debris,NA,NA,unidentified,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,Locality: Not stated.,34,1993-09-30T00:00:00Z,34,1997-08-17T00:00:00Z,NA,NA,NA
4750,Acanthurus blochii,10658,4974,NA,NA,3921,plants,n.a./others,other plants,benthic algae/weeds,NA,NA,unidentified,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,Locality: Not stated.,34,1997-03-09T00:00:00Z,NA,1997-06-20T00:00:00Z,NA,NA,NA
4750,Acanthurus blochii,10659,4974,NA,840B,3921,plants,n.a./others,phytoplankton,diatoms,NA,NA,unidentified,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,Locality: Not stated.,34,1993-09-30T00:00:00Z,34,1997-06-20T00:00:00Z,NA,NA,NA
4736,Acanthurus guttatus,48481,4960,NA,NA,75763,detritus,n.a./others,detritus,debris,NA,NA,benthic sediments,benthc sediments,NA,NA,NA,NA,NA,NA,juv./adults,Locality:  not stated.,309,2008-05-22T00:00:00Z,NA,2008-05-22T00:00:00Z,NA,NA,NA
4736,Acanthurus guttatus,10640,4960,NA,840B,3921,plants,n.a./others,other plants,benthic algae/weeds,NA,NA,Chlorophyta,unidentified filamentous algae,NA,NA,NA,NA,NA,NA,juv./adults,Locality: Not stated.,34,1993-09-29T00:00:00Z,21,1997-11-18T00:00:00Z,NA,NA,NA
4736,Acanthurus guttatus,10641,4960,NA,840B,3921,plants,n.a./others,other plants,benthic algae/weeds,NA,NA,Corallinaceae,Jania,NA,NA,NA,NA,NA,NA,juv./adults,Locality: Not stated.,34,1993-09-29T00:00:00Z,21,1997-11-18T00:00:00Z,NA,NA,NA
4736,Acanthurus guttatus,48480,4960,NA,NA,75763,plants,n.a./others,phytoplankton,n.a./other phytoplankton,NA,NA,microalgae,filamentous microalgae,NA,NA,NA,NA,NA,NA,juv./adults,Locality:  not stated.,309,2008-05-22T00:00:00Z,NA,2008-05-22T00:00:00Z,NA,NA,NA
1258,Acanthurus lineatus,47492,1275,NA,036,58882,plants,leaves/blades,other plants,benthic algae/weeds,NA,very common (21-50%),Caulerpaceae,Caulerpa sp.,NA,NA,NA,NA,NA,NA,adults,"Locality:  northern end Great Barrier Reef. November to February, 1994, 1995 and 1996.",309,2007-10-19T00:00:00Z,NA,2007-10-19T00:00:00Z,NA,NA,NA
1258,Acanthurus lineatus,47491,1275,NA,036,58882,plants,leaves/blades,other plants,benthic algae/weeds,NA,very common (21-50%),Cladophoraceae,Cladophora sp.,NA,NA,NA,NA,NA,NA,adults,"Locality:  northern end Great Barrier Reef. November to February, 1994, 1995 and 1996.",309,2007-10-19T00:00:00Z,NA,2007-10-19T00:00:00Z,NA,NA,NA
1258,Acanthurus lineatus,47493,1275,NA,036,58882,plants,leaves/blades,other plants,benthic algae/weeds,NA,very common (21-50%),Codiaceae,Codium sp.,NA,NA,NA,NA,NA,NA,adults,"Locality:  northern end Great Barrier Reef. November to February, 1994, 1995 and 1996.",309,2007-10-19T00:00:00Z,NA,2007-10-19T00:00:00Z,NA,NA,NA
1258,Acanthurus lineatus,49184,1275,NA,036,45109,plants,leaves/blades,other plants,benthic algae/weeds,NA,NA,Corallinaceae,Jania,NA,NA,NA,NA,NA,NA,juv./adults,"Locality:  northern Great Barrier Reef. Collected during the Austral summer months (November-February) 1994, 1995 and 1996.",309,2008-08-01T00:00:00Z,NA,2008-08-01T00:00:00Z,NA,NA,NA
1258,Acanthurus lineatus,49180,1275,NA,036,45109,plants,leaves/blades,other plants,benthic algae/weeds,NA,NA,Dictyotaceae,Dictyota,NA,NA,NA,NA,NA,NA,juv./adults,"Locality:  northern Great Barrier Reef. Collected during the Austral summer months (November-February) 1994, 1995 and 1996.",309,2008-08-01T00:00:00Z,NA,2008-08-01T00:00:00Z,NA,NA,NA
1258,Acanthurus lineatus,47488,1275,NA,036,58882,plants,leaves/blades,other plants,benthic algae/weeds,NA,dominant ( > 50%),Rhodomelaceae,Laurencia sp.,NA,NA,NA,NA,NA,NA,adults,"Locality:  northern end Great Barrier Reef. November to February, 1994, 1995 and 1996.",309,2007-10-19T00:00:00Z,NA,2007-10-19T00:00:00Z,NA,NA,NA
1258,Acanthurus lineatus,47489,1275,NA,036,58882,plants,leaves/blades,other plants,benthic algae/weeds,NA,dominant ( > 50%),Rhodomelaceae,Polysiphonia sp.,NA,NA,NA,NA,NA,NA,adults,"Locality:  northern end Great Barrier Reef. November to February, 1994, 1995 and 1996.",309,2007-10-19T00:00:00Z,NA,2007-10-19T00:00:00Z,NA,NA,NA
1258,Acanthurus lineatus,49179,1275,NA,036,45109,plants,leaves/blades,other plants,benthic algae/weeds,NA,NA,Sargassaceae,Turbinaria,NA,NA,NA,NA,NA,NA,juv./adults,"Locality:  northern Great Barrier Reef. Collected during the Austral summer months (November-February) 1994, 1995 and 1996.",309,2008-08-01T00:00:00Z,NA,2008-08-01T00:00:00Z,NA,NA,NA
1258,Acanthurus lineatus,47490,1275,NA,036,58882,plants,leaves/blades,other plants,benthic algae/weeds,NA,very common (21-50%),Sphacelariaceae,Sphacelaria sp.,NA,NA,NA,NA,NA,NA,adults,"Locality:  northern end Great Barrier Reef. November to February, 1994, 1995 and 1996.",309,2007-10-19T00:00:00Z,NA,2007-10-19T00:00:00Z,NA,NA,NA
1258,Acanthurus lineatus,49181,1275,NA,036,45109,plants,n.a./others,other plants,benthic algae/weeds,NA,NA,Dictyotaceae,Padina,NA,NA,NA,NA,NA,NA,juv./adults,"Locality:  northern Great Barrier Reef. Collected during the Austral summer months (November-February) 1994, 1995 and 1996.",309,2008-08-01T00:00:00Z,NA,2008-08-01T00:00:00Z,NA,NA,NA
1258,Acanthurus lineatus,4941,1275,NA,584,275,plants,n.a./others,other plants,benthic algae/weeds,NA,NA,unidentified,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,Locality: Not stated.,34,1997-02-17T00:00:00Z,NA,1997-06-20T00:00:00Z,NA,NA,NA
6011,Acanthurus nigricans,48479,6325,NA,584,275,detritus,n.a./others,detritus,debris,NA,NA,benthic sediments,benthic sediments,NA,NA,NA,NA,NA,NA,juv./adults,Locality:  Enewetok Atoll.,309,2008-05-22T00:00:00Z,NA,2008-05-22T00:00:00Z,NA,NA,NA
6011,Acanthurus nigricans,47548,6325,NA,036,58882,plants,leaves/blades,other plants,benthic algae/weeds,NA,common (6-20%),Caulerpaceae,Caulerpa sp.,NA,NA,NA,NA,NA,NA,adults,"Locality:  northern end Great Barrier Reef. November to February, 1994, 1995 and 1996.",309,2007-10-23T00:00:00Z,NA,2007-10-23T00:00:00Z,NA,NA,NA
6011,Acanthurus nigricans,47547,6325,NA,036,58882,plants,leaves/blades,other plants,benthic algae/weeds,NA,very common (21-50%),Cladophoraceae,Cladophora sp.,NA,NA,NA,NA,NA,NA,adults,"Locality:  northern end Great Barrier Reef. November to February, 1994, 1995 and 1996.",309,2007-10-23T00:00:00Z,NA,2007-10-23T00:00:00Z,NA,NA,NA
6011,Acanthurus nigricans,47549,6325,NA,036,58882,plants,leaves/blades,other plants,benthic algae/weeds,NA,common (6-20%),Codiaceae,Codium sp.,NA,NA,NA,NA,NA,NA,adults,"Locality:  northern end Great Barrier Reef. November to February, 1994, 1995 and 1996.",309,2007-10-23T00:00:00Z,NA,2007-10-23T00:00:00Z,NA,NA,NA
6011,Acanthurus nigricans,47544,6325,NA,036,58882,plants,leaves/blades,other plants,benthic algae/weeds,NA,dominant ( > 50%),Corallinaceae,Laurencia sp.,NA,NA,NA,NA,NA,NA,adults,"Locality:  northern end Great Barrier Reef. November to February, 1994, 1995 and 1996.",309,2007-10-23T00:00:00Z,NA,2007-10-23T00:00:00Z,NA,NA,NA
6011,Acanthurus nigricans,47551,6325,NA,036,58882,plants,leaves/blades,other plants,benthic algae/weeds,NA,rare (1-5%),Dictyotaceae,Dictyata sp.,NA,NA,NA,NA,NA,NA,adults,"Locality:  northern end Great Barrier Reef. November to February, 1994, 1995 and 1996.",309,2007-10-23T00:00:00Z,NA,2008-08-01T00:00:00Z,NA,NA,NA
6011,Acanthurus nigricans,47552,6325,NA,036,58882,plants,leaves/blades,other plants,benthic algae/weeds,NA,rare (1-5%),Dictyotaceae,Padina sp.,NA,NA,NA,NA,NA,NA,adults,"Locality:  northern end Great Barrier Reef. November to February, 1994, 1995 and 1996.",309,2007-10-23T00:00:00Z,NA,2007-10-23T00:00:00Z,NA,NA,NA
6011,Acanthurus nigricans,47546,6325,NA,036,58882,plants,leaves/blades,other plants,benthic algae/weeds,NA,very common (21-50%),Gracilariaceae,Gracilaria sp.,NA,NA,NA,NA,NA,NA,adults,"Locality:  northern end Great Barrier Reef. November to February, 1994, 1995 and 1996.",309,2007-10-23T00:00:00Z,NA,2007-10-23T00:00:00Z,NA,NA,NA
6011,Acanthurus nigricans,47543,6325,NA,036,58882,plants,leaves/blades,other plants,benthic algae/weeds,NA,dominant ( > 50%),Rhodomelaceae,Laurencia sp.,NA,NA,NA,NA,NA,NA,adults,"Locality:  northern end Great Barrier Reef. November to February, 1994, 1995 and 1996.",309,2007-10-23T00:00:00Z,NA,2007-10-23T00:00:00Z,NA,NA,NA
6011,Acanthurus nigricans,47545,6325,NA,036,58882,plants,leaves/blades,other plants,benthic algae/weeds,NA,dominant ( > 50%),Rhodomelaceae,Polysiphonia sp.,NA,NA,NA,NA,NA,NA,adults,"Locality:  northern end Great Barrier Reef. November to February, 1994, 1995 and 1996.",309,2007-10-23T00:00:00Z,NA,2007-10-23T00:00:00Z,NA,NA,NA
6011,Acanthurus nigricans,47550,6325,NA,036,58882,plants,leaves/blades,other plants,benthic algae/weeds,NA,rare (1-5%),Sargassaceae,Turbinaria sp.,NA,NA,NA,NA,NA,NA,adults,"Locality:  northern end Great Barrier Reef. November to February, 1994, 1995 and 1996.",309,2007-10-23T00:00:00Z,NA,2007-10-23T00:00:00Z,NA,NA,NA
6011,Acanthurus nigricans,12206,6325,Arno.,584,275,plants,n.a./others,other plants,benthic algae/weeds,NA,NA,unidentified,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,Locality: Arno,34,1997-02-17T00:00:00Z,NA,1997-11-18T00:00:00Z,NA,NA,NA
4747,Acanthurus nigricauda,47575,4971,NA,036,58882,detritus,n.a./others,detritus,debris,NA,dominant ( > 50%),organic matter,organic matter,NA,NA,NA,NA,NA,NA,adults,"Locality:  northern end Great Barrier Reef. November to February, 1994, 1995 and 1996.",309,2007-10-23T00:00:00Z,NA,2007-10-23T00:00:00Z,NA,NA,NA
4747,Acanthurus nigricauda,10655,4971,Enewetak.,584,33482,plants,n.a./others,other plants,benthic algae/weeds,NA,NA,unidentified,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,Locality: Enewetak.,34,2000-03-02T00:00:00Z,NA,2000-03-02T00:00:00Z,NA,NA,NA
4747,Acanthurus nigricauda,48471,4971,NA,598,5543,plants,n.a./others,phytoplankton,n.a./other phytoplankton,NA,NA,microalgae,filamentous microalgae,NA,NA,NA,NA,NA,NA,juv./adults,Locality:  Kavieng Harbour. Captured from fish traps from 35 samples and  4 with empty stomachs.,309,2008-05-22T00:00:00Z,NA,2008-05-22T00:00:00Z,NA,NA,NA
4747,Acanthurus nigricauda,48474,4971,NA,598,5543,zoobenthos,juv./adults,benth. crust.,n.a./other benth. crustaceans,NA,NA,Crustacea,unidentified crustaceans,NA,NA,NA,NA,NA,NA,juv./adults,Locality:  Kavieng Harbour. Captured from fish traps from 35 samples and  4 with empty stomachs.,309,2008-05-22T00:00:00Z,NA,2008-05-22T00:00:00Z,NA,NA,NA
4747,Acanthurus nigricauda,48473,4971,NA,598,5543,zoobenthos,juv./adults,mollusks,n.a./other mollusks,NA,NA,Mollusca,unidentified mollusks,NA,NA,NA,NA,NA,NA,juv./adults,Locality:  Kavieng Harbour. Captured from fish traps from 35 samples and  4 with empty stomachs.,309,2008-05-22T00:00:00Z,NA,2008-05-22T00:00:00Z,NA,NA,NA
4747,Acanthurus nigricauda,48472,4971,NA,598,5543,zoobenthos,recruits/juv.,cnidarians,hard corals,NA,NA,corals,coral fragments,NA,NA,NA,NA,NA,NA,juv./adults,Locality:  Kavieng Harbour. Captured from fish traps from 35 samples and  4 with empty stomachs.,309,2008-05-22T00:00:00Z,NA,2008-05-22T00:00:00Z,NA,NA,NA
4747,Acanthurus nigricauda,47576,4971,NA,036,58882,zooplankton,juv./adults,other plank. invertebrates,n.a./other plank. invertebrates,NA,rare (1-5%),Foraminifera,unidentified forams,NA,NA,NA,NA,NA,NA,adults,"Locality:  northern end Great Barrier Reef. November to February, 1994, 1995 and 1996. Also Ref. 5543.",309,2007-10-23T00:00:00Z,309,2008-05-22T00:00:00Z,NA,NA,NA
4747,Acanthurus nigricauda,10656,4971,NA,NA,27115,zooplankton,juv./adults,other plank. invertebrates,n.a./other plank. Invertebrates,NA,NA,unidentified,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,NA,34,2000-04-01T00:00:00Z,NA,2000-04-01T00:00:00Z,NA,NA,NA
4739,Acanthurus nigrofuscus,43836,4963,NA,376,56001,plants,leaves/blades,other plants,benthic algae/weeds,NA,NA,Ceramiaceae,Centroceras clavulatum,NA,NA,NA,NA,NA,NA,juv./adults,"Locality:  Gulf of Aqaba, Eilat. One of the main food items during summer, 1982.",309,2006-06-06T00:00:00Z,NA,2006-06-06T00:00:00Z,NA,NA,NA
4739,Acanthurus nigrofuscus,43835,4963,NA,376,56001,plants,leaves/blades,other plants,benthic algae/weeds,NA,NA,Ceramiaceae,Ceramium deslongchampsii,NA,NA,NA,NA,NA,NA,juv./adults,"Locality:  Gulf of Aqaba, Eilat. One of the main food items during summer, 1982.",309,2006-06-06T00:00:00Z,NA,2006-06-06T00:00:00Z,NA,NA,NA
4739,Acanthurus nigrofuscus,43840,4963,NA,376,56001,plants,leaves/blades,other plants,benthic algae/weeds,NA,NA,Cladophoraceae,Cladophora,NA,NA,NA,NA,NA,NA,juv./adults,"Locality:  Gulf of Aqaba, Eilat. One of the main food items in November, 1982.",309,2006-06-06T00:00:00Z,NA,2006-06-06T00:00:00Z,NA,NA,NA
4739,Acanthurus nigrofuscus,43837,4963,NA,376,56001,plants,leaves/blades,other plants,benthic algae/weeds,NA,NA,Gelidiaceae,Gelidium spp.,NA,NA,NA,NA,NA,NA,juv./adults,"Locality:  Gulf of Aqaba, Eilat. One of the main food items during summer, 1982.",309,2006-06-06T00:00:00Z,NA,2006-06-06T00:00:00Z,NA,NA,NA
4739,Acanthurus nigrofuscus,43834,4963,NA,376,56001,plants,leaves/blades,other plants,benthic algae/weeds,NA,NA,Rhodomelaceae,Polysiphonia,NA,NA,NA,NA,NA,NA,juv./adults,"Locality:  Gulf of Aqaba, Eilat. One of the main food items during summer, 1982.",309,2006-06-06T00:00:00Z,NA,2006-06-06T00:00:00Z,NA,NA,NA
4739,Acanthurus nigrofuscus,43839,4963,NA,376,56001,plants,leaves/blades,other plants,benthic algae/weeds,NA,NA,Ulvaceae,Enteromorpha,NA,NA,NA,NA,NA,NA,juv./adults,"Locality:  Gulf of Aqaba, Eilat. One of the main food items in November, 1982.",309,2006-06-06T00:00:00Z,NA,2006-06-06T00:00:00Z,NA,NA,NA
4739,Acanthurus nigrofuscus,43841,4963,NA,376,56001,plants,leaves/blades,other plants,benthic algae/weeds,NA,NA,Ulvaceae,Ulva,NA,NA,NA,NA,NA,NA,juv./adults,"Locality:  Gulf of Aqaba, Eilat. One of the main food items in November, 1982.",309,2006-06-06T00:00:00Z,NA,2006-06-06T00:00:00Z,NA,NA,NA
4739,Acanthurus nigrofuscus,10646,4963,NA,NA,1602,plants,n.a./others,other plants,benthic algae/weeds,NA,NA,unidentified,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,NA,34,1999-11-24T00:00:00Z,NA,1999-11-24T00:00:00Z,NA,NA,NA
4739,Acanthurus nigrofuscus,43838,4963,NA,376,56001,plants,n.a./others,phytoplankton,blue-green algae,NA,NA,Oscillatoriaceae,Lyngbya spp.,NA,NA,NA,NA,NA,NA,juv./adults,"Locality:  Gulf of Aqaba, Eilat. One of the main food items during summer, 1982.",309,2006-06-06T00:00:00Z,NA,2006-06-06T00:00:00Z,NA,NA,NA
4739,Acanthurus nigrofuscus,10647,4963,NA,NA,28026,plants,n.a./others,phytoplankton,n.a./other phytoplankton,NA,NA,unidentified,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,NA,34,2000-05-03T00:00:00Z,NA,2000-05-03T00:00:00Z,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4744,Acanthurus olivaceus,10651,4968,NA,840B,3921,detritus,n.a./others,detritus,debris,NA,NA,unidentified,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,Locality: Not stated. Generally ingested with some inorganic sediment.,34,1993-09-29T00:00:00Z,34,1997-11-18T00:00:00Z,NA,NA,NA
4744,Acanthurus olivaceus,10652,4968,NA,840B,3921,plants,n.a./others,other plants,benthic algae/weeds,NA,NA,Chlorophyta,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,Locality: Not stated. Generally ingested with some inorganic sediment. Also Ref. 27115.,34,1993-09-29T00:00:00Z,34,2000-04-01T00:00:00Z,NA,NA,NA
4744,Acanthurus olivaceus,10653,4968,NA,840B,3921,plants,n.a./others,phytoplankton,diatoms,NA,NA,unidentified,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,Locality: Not stated. Generally ingested with some inorganic sediment.,34,1993-09-29T00:00:00Z,34,1997-11-18T00:00:00Z,NA,NA,NA
