SpecCode,Species,AutoCtr,StockCode,FamCode,PopLWRef,LengthMin,LengthMax,Type,LmaxCompare,EsQ,Number,Sex,a,aTL,b,CoeffDetermination,SEa,SEb,SDa,SDb,LCLa,UCLa,LCLb,UCLb,Method,Locality,DataRef,C_Code,Comment,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS
1260,Acanthurus triostegus,3141,1277,412,3807,NA,NA,NA,NA,NA,NA,unsexed,0.0164,NA,3.137,0.9722,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Woleai Atoll, Yap State, 1991",3807,583,condition factor = 2.312,3,1992-06-14T00:00:00Z,NA,1994-01-27T00:00:00Z,NA,NA,NA
1260,Acanthurus triostegus,3142,1277,412,26587,6.5,16.5,FL,NA,yes,21,unsexed,0.132,0.12324,2.392,0.93896,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,lagoon,26587,540,Update of estimate in Ref. 5525.,3,1993-06-19T00:00:00Z,3,2003-09-05T00:00:00Z,NA,NA,NA
1260,Acanthurus triostegus,3143,1277,412,48600,3.5,19.2,TL,NA,NA,1005,unsexed,0.0213,0.0213,3.081,0.95063,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Lakshadweep lagoons, 1993-97",48600,356,NA,3,2003-09-05T00:00:00Z,NA,2003-09-05T00:00:00Z,NA,NA,NA
1260,Acanthurus triostegus,3144,1277,412,55787,6.5,16.5,FL,NA,NA,22,mixed,0.08306,0.07716,2.56968,0.94478,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,55787,540,Error:  9.1%,1531,2005-12-06T00:00:00Z,NA,2005-12-06T00:00:00Z,NA,NA,NA
1260,Acanthurus triostegus,35911,1277,NA,94645,8.5,22.3,FL,NA,NA,115,unsexed,0.0173,NA,3.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,96439,840B,NA,3,2014-06-27T00:00:00Z,NA,2014-06-27T00:00:00Z,NA,NA,NA
1250,Aetobatus narinari,3130,1266,22,3678,NA,NA,WD,NA,NA,NA,unsexed,0.00586,NA,3.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,3670,710,NA,3,1992-05-31T00:00:00Z,3,2002-04-13T00:00:00Z,NA,NA,NA
4275,Aluterus scriptus,5924,4471,517,6937,19.3,61.5,TL,NA,yes,71,unsexed,0.823,NA,1.814,0.89,0.091,0.078,NA,NA,NA,NA,NA,NA,type I linear regression,Southern Florida,6937,840,NA,82,1994-05-22T00:00:00Z,3,2011-07-29T00:00:00Z,NA,NA,NA
6672,Amanses scopas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7229,Amblyeleotris fasciata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7243,Amblygobius nocturnus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7198,Amblygobius phalaena,8146,7327,405,30504,6,6,TL,NA,NA,1,unsexed,0.02454,0.02454,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00Z,NA,1999-06-15T00:00:00Z,NA,NA,NA
7198,Amblygobius phalaena,8147,7327,405,55787,3,11.7,FL,NA,NA,57,mixed,0.01838,0.01838,2.83357,0.91776,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,55787,540,Error:  13.6%,1531,2005-12-06T00:00:00Z,NA,2005-12-06T00:00:00Z,NA,NA,NA
4551,Amphiprion chrysopterus,6407,4736,350,30504,11.5,11.5,TL,NA,NA,1,unsexed,0.01447,0.01447,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00Z,NA,1999-06-15T00:00:00Z,NA,NA,NA
4551,Amphiprion chrysopterus,6408,4736,350,30504,NA,NA,SL,NA,Yes,1,unsexed,0.03582,0.01834,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00Z,NA,1999-06-15T00:00:00Z,NA,NA,NA
4888,Anampses caeruleopunctatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5622,Anampses melanurus,7491,5916,362,30504,6.2,6.2,TL,NA,NA,1,unsexed,0.01049,0.01049,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00Z,NA,1999-06-15T00:00:00Z,NA,NA,NA
5622,Anampses melanurus,7492,5916,362,30504,NA,NA,SL,NA,NA,1,unsexed,0.01503,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00Z,NA,1999-06-15T00:00:00Z,NA,NA,NA
4889,Anampses meleagrides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4893,Anampses twistii,6859,5126,362,30504,11.2,11.2,TL,NA,NA,1,unsexed,0.01466,0.01466,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00Z,NA,1999-06-15T00:00:00Z,NA,NA,NA
4893,Anampses twistii,6860,5126,362,30504,NA,NA,SL,NA,NA,1,unsexed,0.02826,0.01856,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00Z,NA,1999-06-15T00:00:00Z,NA,NA,NA
81,Aphareus furca,459,96,323,30504,23,23,TL,NA,NA,1,unsexed,0.01048,0.01048,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00Z,NA,1999-06-15T00:00:00Z,NA,NA,NA
81,Aphareus furca,460,96,323,30504,NA,NA,SL,NA,NA,1,unsexed,0.01859,0.00897,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00Z,NA,1999-06-15T00:00:00Z,NA,NA,NA
84,Aprion virescens,469,99,323,3084,55,83,FL,NA,NA,15,unsexed,0.00518,0.00344,3.264,0.97023,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,3084,580,NA,3,1992-03-28T00:00:00Z,NA,1994-06-19T00:00:00Z,NA,NA,NA
84,Aprion virescens,470,99,323,3678,NA,NA,FL,NA,NA,NA,unsexed,0.0294,0.02081,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,3670,710,NA,3,1992-05-31T00:00:00Z,3,1995-09-18T00:00:00Z,NA,NA,NA
84,Aprion virescens,471,99,323,7194,NA,NA,NA,NA,NA,NA,unsexed,0.0162,NA,2.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,7196,690,NA,3,1994-07-01T00:00:00Z,NA,1994-07-01T00:00:00Z,NA,NA,NA
84,Aprion virescens,472,99,323,12260,27,85,FL,NA,NA,NA,unsexed,0.0077,0.0052,3.1337,0.99202,0.004,0.118,NA,NA,NA,NA,NA,NA,type I linear regression,"Southern coasts, Indian Ocean",12260,360,NA,3,1996-12-22T00:00:00Z,NA,2012-02-23T00:00:00Z,NA,NA,NA
84,Aprion virescens,473,99,323,13622,44,82,FL,NA,NA,37,unsexed,0.00345,0.00227,3.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,160,548,NA,3,1997-11-27T00:00:00Z,NA,1997-11-27T00:00:00Z,NA,NA,NA
84,Aprion virescens,474,99,323,26587,22.5,88,FL,NA,NA,77,unsexed,0.0255,0.0178,2.87,0.96236,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,lagoon,26587,540,Update of estimate in Ref. 5525.,3,1993-06-16T00:00:00Z,3,1998-05-19T00:00:00Z,NA,NA,NA
84,Aprion virescens,475,99,323,55787,22.5,88,FL,NA,NA,121,mixed,0.02297,0.016,2.88627,0.9604,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,55787,540,Error:  8.3%,1531,2005-12-06T00:00:00Z,NA,2005-12-06T00:00:00Z,NA,NA,NA
5425,Arothron hispidus,7251,5687,448,26587,6.5,46,TL,NA,NA,14,unsexed,0.057,0.057,2.801,0.996,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,lagoon,26587,540,Update of estimate in Ref. 5525.,3,1993-06-24T00:00:00Z,3,1998-05-22T00:00:00Z,NA,NA,NA
5425,Arothron hispidus,7252,5687,448,55787,6.5,52,FL,NA,NA,19,mixed,0.06338,0.06338,2.755,0.99401,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,55787,540,Error:  10.4%,1531,2005-12-06T00:00:00Z,NA,2012-11-16T00:00:00Z,NA,NA,NA
6401,Arothron meleagris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6526,Arothron stellatus,8038,6847,448,26587,5,75,TL,NA,NA,21,unsexed,0.0947,0.0947,2.664,0.996,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,lagoon,26587,540,Update of estimate in Ref. 5525.,3,1993-06-24T00:00:00Z,3,1998-05-22T00:00:00Z,NA,NA,NA
6526,Arothron stellatus,8039,6847,448,55787,5,75,FL,NA,NA,24,mixed,0.0915,0.0915,2.67239,0.996,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,55787,540,Error:  8.6%,1531,2005-12-06T00:00:00Z,NA,2005-12-06T00:00:00Z,NA,NA,NA
6065,Aspidontus dussumieri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6066,Aspidontus taeniatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7247,Asterropteryx ensifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7200,Asterropteryx semipunctata,8149,7330,405,30504,2.7,2.9,TL,NA,NA,2,unsexed,0.01581,0.01581,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,several L-W pairs with b=3,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00Z,NA,1999-06-15T00:00:00Z,NA,NA,NA
58618,Asterropteryx striata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17462,Atrosalarias fuscus,9484,15642,392,55787,3.6,10.2,FL,NA,NA,50,mixed,0.01491,0.01491,3.01786,0.85748,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,55787,540,Error:  16.2%,1531,2005-12-06T00:00:00Z,NA,2005-12-06T00:00:00Z,NA,NA,NA
7559,Atrosalarias holomelas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1309,Aulostomus chinensis,3217,1327,253,26849,15.6,32.7,TL,NA,Yes,40,Unsexed,0.001,0.001,3.793,0.97812,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,26849,638,NA,3,1998-06-17T00:00:00Z,3,2013-01-08T16:34:45Z,NA,NA,NA
1309,Aulostomus chinensis,3218,1327,253,30840,33,69,TL,NA,NA,4,unsexed,8.6e-4,8.6e-4,3.16,0.98406,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,3,1999-08-06T00:00:00Z,NA,1999-08-06T00:00:00Z,NA,NA,NA
1309,Aulostomus chinensis,3219,1327,253,55787,31.8,68,FL,NA,NA,11,mixed,2.1e-4,2.1e-4,3.51443,0.97812,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,55787,540,Error:  9.8%,1531,2005-12-06T00:00:00Z,NA,2005-12-06T00:00:00Z,NA,NA,NA
6026,Balistoides viridescens,7822,6340,445,55787,27.4,61,FL,NA,NA,10,mixed,0.02442,0.02442,3.01828,0.996,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,55787,540,Error:  3.9%,1531,2005-12-06T00:00:00Z,NA,2005-12-06T00:00:00Z,NA,NA,NA
27183,Blenniella paula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5498,Bodianus axillaris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7641,Bothus mancus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7282,Bryaninops tigris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,Callionymus filamentosus,987,239,435,42805,5.8,10.2,TL,NA,NA,92,unsexed,0.0181,0.0181,2.835,0.95844,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"eastern Mediterranean, 1997-98",42805,792,NA,3,2002-08-02T00:00:00Z,NA,2002-08-02T00:00:00Z,NA,NA,NA
225,Callionymus filamentosus,35324,239,NA,94840,7.2,10.7,TL,NA,NA,43,Unsexed,0.0323,NA,2.513,0.93,NA,0.107,NA,NA,NA,NA,2.296,2.729,type I linear regression,Iskenderun Bay / 2007-2008,NA,792,NA,65,2014-02-19T15:10:49Z,NA,2014-02-19T15:10:49Z,NA,NA,NA
4355,Calotomus carolinus,5980,4550,364,3807,NA,NA,NA,NA,NA,NA,unsexed,0.0122,NA,3.167,0.996,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Woleai Atoll, Yap State, 1991",3807,583,condition factor = 2.00,3,1992-06-14T00:00:00Z,NA,1994-01-27T00:00:00Z,NA,NA,NA
